132.2,-3.4,229.3,-136.28,87.02,-138.83,-0.7,-10.81,5.27,-13.79,7.91,11.68
106.7,35.7,145.1,-152.86,51.46,-34.22,-3.51,19.77,5.27,-131.3,-95.53,34.89
97.1,-0.9,221.2,-145.85,84.87,-151.19,6.15,-31.55,22.14,-40.07,17.92,36.73
206.1,15.0,211.0,140.57,86.19,141.03,5.53,33.57,-37.52,-36.12,8.52,38.49
113.4,19.5,228.8,139.17,81.63,144.07,14.06,-19.51,9.31,-28.47,18.63,33.66
191.8,-9.6,198.8,48.07,34.71,-13.06,11.33,61.17,-58.53,-123.39,89.2,140.71
110.0,-1.5,212.7,-122.49,81.47,-123.06,-0.87,-24.78,23.29,-0.61,6.06,-6.59
208.4,78.6,218.8,-50.4,66.37,-30.2,20.03,48.33,-56.77,-21.53,-6.85,3.51
119.6,-3.5,229.5,-107.53,69.48,-109.07,-0.79,-17.13,7.47,-6.15,15.9,-13.44
153.6,39.3,199.8,-135.21,52.23,-50.9,-4.13,29.7,-37.88,63.28,86.22,-107.66
113.6,7.2,225.8,-144.83,87.56,-142.31,4.74,-21.62,15.11,-14.85,8.78,13.35
152.7,-23.7,176.4,72.38,46.23,-14.7,11.51,40.25,-18.89,-96.76,106.61,151.34
121.1,11.0,203.2,162.39,84.18,167.55,5.18,-18.1,24.25,-5.88,-0.52,7.64
207.1,-40.2,232.4,53.64,78.64,42.68,-10.81,40.86,-56.95,-4.21,9.4,13.27
126.1,9.4,205.0,96.97,87.2,102.17,3.51,-15.29,24.25,-10.81,-8.78,13.88
207.9,42.2,150.2,-141.67,51.34,-76.2,0.08,60.11,-62.57,55.54,64.16,-97.29
120.5,4.4,218.9,-119.91,76.09,-118.5,3.33,-17.75,13.88,-13.88,11.07,1.84
222.8,71.6,161.8,-150.78,74.66,-132.42,17.92,55.81,-52.64,-2.54,10.19,-5.0
119.0,1.3,204.7,-141.44,75.81,-140.72,1.31,-19.07,20.83,-8.87,9.4,0.08
217.3,-11.6,127.0,-72.02,34.41,-127.23,9.05,69.25,-40.95,59.5,-69.69,-105.9
128.9,-0.4,213.8,-7.98,83.85,-7.44,-0.7,-13.71,21.7,-5.53,-14.5,4.74
143.0,35.7,101.9,80.26,72.82,97.61,12.39,39.72,39.46,-4.57,-82.08,17.75
178.0,48.9,33.1,79.53,71.16,103.53,11.86,85.6,-7.47,-11.6,-81.65,20.74
